workorder num,workorder url,actual code,exsisting code,after update code,update status,tax rate difference,due amount
11095,https://login.fieldedge.com/#/DispatchSummary/a9483055-d55e-435d-90f8-3eb399f6f71f/241ea398-94b4-4a78-89f5-430f860cfc02,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11108,https://login.fieldedge.com/#/DispatchSummary/e1e67e4b-e7ae-47d7-b275-a0c54c991d55/13fb0335-e8cf-45d0-b8ed-ef0433bbf098,2700,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,skipped,+9.50%,$0.00
11093,https://login.fieldedge.com/#/DispatchSummary/8d2f161f-73ea-4f87-a448-6fa5a9b44787/ab31c1b1-a6be-4287-8fc6-71425c38b2dc,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11113,https://login.fieldedge.com/#/DispatchSummary/860073bc-faef-4899-92f1-431bf9bcd085/0f5f0519-1112-487a-b250-4a1e93d5ea97,2700,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,skipped,+9.50%,$0.00
11126,https://login.fieldedge.com/#/DispatchSummary/8bacf1d4-6a05-41d3-acaa-6ff0411f370e/8dad9fa3-de75-4a58-83cb-d940924bdc45,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11048,https://login.fieldedge.com/#/DispatchSummary/88b04a92-9386-470b-8956-00b97fc2be3c/1a7b5178-f477-4508-8207-7cca9420f3b1,1702,*AUBURN - 1702 - 10.3.% Tax Code992-inactive,*AUBURN - 1702 - 10.3.% Tax Code992-inactive,skipped,+0.10%,$0.00
11101,https://login.fieldedge.com/#/DispatchSummary/48b7424c-7f7e-46e8-97eb-ba4c248dd48e/32769382-5d73-4ea8-9625-0159ecc15359,4000,*KING - 4000 - 8.8.% Tax Code1013-inactive,*KING - 4000 - 8.8.% Tax Code1013-inactive,skipped,+0.10%,$0.00
11105,https://login.fieldedge.com/#/DispatchSummary/88a7dfc4-eadd-4c5a-b60d-f22555efb086/32628430-aca4-4603-8453-b9ff422ab4b7,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,skipped,+0.10%,$0.00
11115,https://login.fieldedge.com/#/DispatchSummary/418465b3-6094-4989-95f2-04b339527174/08fea1f3-fed9-4083-8d87-60dbe5b46dae,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11097,https://login.fieldedge.com/#/DispatchSummary/4c8669d7-470c-4870-8b2e-ba100beee3a8/0ec01c12-a655-474e-b136-0b28ef17728e,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11118,https://login.fieldedge.com/#/DispatchSummary/2f5ab054-fe5a-4ec5-9a86-9d6eed3b2b62/c4f4d695-ce25-4957-996e-b85b35c134c0,2700,*2727 - Pierce- 10.1% Tax Code,*2700-Pierce- 9.5% Tax Code,new update,-0.60%,-$7.45
11129,https://login.fieldedge.com/#/DispatchSummary/59b594ba-53e8-44b1-921a-b223fac61025/bdb6ec57-24a1-434c-911d-fab9ab7d6463,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11133,https://login.fieldedge.com/#/DispatchSummary/1b6be291-8a69-493f-b8cc-53b57427721a/15b53626-4bbc-48ea-92da-3af0e7c5d84d,2700,*2727 - Pierce- 10.1% Tax Code,*2700-Pierce- 9.5% Tax Code,new update,-0.60%,$0.00
11087,https://login.fieldedge.com/#/DispatchSummary/640e93de-f586-4f49-ae2f-9489538e5d58/4f2d346a-bcf5-41a1-b7c1-bec0853a8700,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11136,https://login.fieldedge.com/#/DispatchSummary/b58086f0-f6ab-4a55-aa3d-df3ad7bb61ab/0331a375-5a75-4349-a49a-eee8419a0ea3,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11143,https://login.fieldedge.com/#/DispatchSummary/7defa20e-1bed-4323-901b-083a5bbb0b27/83bf792c-333e-407e-9b09-7900f2a0275c,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11119,https://login.fieldedge.com/#/DispatchSummary/9a53ec83-1e52-4c2f-95c8-9e848acb17f7/e0003321-4676-4987-9862-3c087f133a77,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11139,https://login.fieldedge.com/#/DispatchSummary/bb8564ac-1466-43ea-82b7-8b29c4fad615/2a7ad933-9163-4f55-b62a-c3b44f426a5a,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11141,https://login.fieldedge.com/#/DispatchSummary/d1d3e377-ba4d-4986-9725-cff99cfe8edf/e116ed7f-08a3-499d-a03f-f7d921438fa3,2700,PIERCE - 2727 Tax Code844-inactive,*2700-Pierce- 9.5% Tax Code,new update,+9.50%,$0.00
11104,https://login.fieldedge.com/#/DispatchSummary/71317020-cb45-4bf5-a56c-4293b5db74b0/c32f7cb1-6b8d-443e-a71e-b70f4e52e6b8,1734,*BURIEN - 1734 -10.2.% Tax Code998-inactive,*BURIEN - 1734 -10.2.% Tax Code998-inactive,skipped,+0.10%,$0.00
11149,https://login.fieldedge.com/#/DispatchSummary/1aa5968f-eed2-4b51-91d0-50344da504aa/70da8fde-ede9-4b8a-8a3a-d22e9ff5ae33,2745,*2745 - Puyallup Tribe- 10.1% Tax Co,*2745 - Puyallup Tribe- 10.1% Tax Co,skipped,0.00%,$0.00
11116,https://login.fieldedge.com/#/DispatchSummary/63274c86-a2f9-4e34-8340-e4e4f871be89/13edcbe8-6964-42b5-b526-ffc138c120a9,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11138,https://login.fieldedge.com/#/DispatchSummary/06de3d9c-ce4b-464c-ab65-9a7fe8e361d7/83f213a4-587b-49c7-a115-921b19a38b3e,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11148,https://login.fieldedge.com/#/DispatchSummary/43ed09c7-922c-4d41-a650-9cb49d5e05ab/78110f02-8c05-46e4-8cea-945cac4f80cc,2700,PIERCE CO RTA-2700-eff 07/23 Tax Cod-inactive,PIERCE CO RTA-2700-eff 07/23 Tax Cod-inactive,skipped,+9.50%,$0.00
11156,https://login.fieldedge.com/#/DispatchSummary/023fc3e4-9f76-423a-8ca0-a5b34b9da053/fde54029-967e-46a3-9273-d29e636d9770,2701,*2701 - Bonney Lake - 9.5% Tax Code,*2701 - Bonney Lake - 9.5% Tax Code,skipped,0.00%,$0.00
11151,https://login.fieldedge.com/#/DispatchSummary/830d6b56-674c-4e37-b936-8d8a1adb4e33/28b52454-aff6-479b-b175-7f43a5f1bf5b,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11158,https://login.fieldedge.com/#/DispatchSummary/aa885bcb-2cec-47a4-9753-92673d25e65a/58d37401-107b-4b4f-b8b6-e4d0efa2f145,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11162,https://login.fieldedge.com/#/DispatchSummary/d2fb584b-ceb7-4528-87cc-49bda6ec34e3/218e7524-e643-481d-995b-f08157cee086,2700,PIERCE - 2700 Tax Code842-inactive,PIERCE - 2700 Tax Code842-inactive,skipped,+9.50%,$0.00
11163,https://login.fieldedge.com/#/DispatchSummary/43a3c3ef-925d-407a-85bc-ff2ef07d91f3/1de0ce4b-4c7e-4a78-851a-c0377ffc5595,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11155,https://login.fieldedge.com/#/DispatchSummary/ec24ac7f-8ca7-4c20-8f19-715ce7c6a563/a96fdcd3-cef4-45b4-a585-74e4aa7192e0,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11157,https://login.fieldedge.com/#/DispatchSummary/74eb6f10-9abe-47fb-bca8-ccb97ea36ed2/14a5fd86-1e4f-47a3-b35e-10318dfe3d13,1732,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,*FEDERAL WAY - 1732 -10.2.% Tax Code1005-inactive,skipped,+0.10%,$0.00
11106,https://login.fieldedge.com/#/DispatchSummary/b03ba857-cb4f-4cc8-be59-9458c9e05093/52d7936c-7edd-45ab-b143-7faad738dc51,2700,*2727 - Pierce- 10.1% Tax Code,*2700-Pierce- 9.5% Tax Code,new update,-0.60%,-$5.14
11170,https://login.fieldedge.com/#/DispatchSummary/ab65cd83-d06d-4c9e-91e6-31f0d20295dd/68381330-3716-4f4a-97d8-c27dd4dee4e6,2700,PIERCE - 2700 Tax Code842-inactive,PIERCE - 2700 Tax Code842-inactive,skipped,+9.50%,$0.00
11173,https://login.fieldedge.com/#/DispatchSummary/195e0bce-e061-49ff-bb2b-bd5552a5b108/d5a65d4a-e3d9-429e-9e04-cf98a8a3a552,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11179,https://login.fieldedge.com/#/DispatchSummary/cdc1234c-d181-4d42-8ef4-ae958316546c/18ea9e2f-d44f-4276-befe-f9d6c2110355,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11188,https://login.fieldedge.com/#/DispatchSummary/efc9edc1-2808-4220-a1c7-6578e04c0d94/5b6b840f-6d3c-40e9-9fed-90b76a9a7ac0,2717,TACOMA-2717-eff 07/21.-inactive,TACOMA-2717-eff 07/21.-inactive,skipped,+10.40%,$0.00
11187,https://login.fieldedge.com/#/DispatchSummary/8a82e8e8-375e-4726-a089-ed5d5a3b69b8/d6410c4f-9691-463d-a785-2a5ce024df12,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11192,https://login.fieldedge.com/#/DispatchSummary/7c405e3a-496b-497b-8002-19f1c545b866/fbb41626-dd2a-4951-8625-ec17c66e2849,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11196,https://login.fieldedge.com/#/DispatchSummary/9113754a-31b4-42cc-9ba1-627d5fbc4c7e/08fe36e4-3871-4d0a-b148-7fed53807d4e,2719,UNIVERSITY PLACE - 2719 Tax Code835-inactive,UNIVERSITY PLACE - 2719 Tax Code835-inactive,skipped,+10.10%,$0.00
11146,https://login.fieldedge.com/#/DispatchSummary/890fb10e-4394-446f-b317-ed490a9dec5a/da6349b7-c247-491e-9e26-1def3dcb165d,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11194,https://login.fieldedge.com/#/DispatchSummary/f4eb92d9-89c4-4c5d-80b9-2c53c75098a3/7c9ab18a-a042-4477-b1fd-8de2e02be641,4100,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,skipped,+8.10%,$0.00
11180,https://login.fieldedge.com/#/DispatchSummary/71eeca6f-a9fc-4d85-be5b-20ddc16a9381/7cc86bba-8ddf-4426-936b-6dfa97ef90eb,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11206,https://login.fieldedge.com/#/DispatchSummary/08543b5c-c128-45de-8edb-dee69dc1fd4f/39ef0145-6125-4d87-b5be-9f733b297d87,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11201,https://login.fieldedge.com/#/DispatchSummary/a0dbff94-10bf-46a3-af1e-e25663763429/e209fc40-8f82-47c1-bf0f-f82bdb754d79,2700,*2720 - Edgewood - 10.1% Tax Code,*2720 - Edgewood - 10.1% Tax Code,not edidtable,-0.60%,$724.46
11205,https://login.fieldedge.com/#/DispatchSummary/c5ec3385-1164-4cca-8ea4-42270376b426/aaaca2a1-2dc6-4b33-8079-ef88d84b63d3,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
10992,https://login.fieldedge.com/#/DispatchSummary/43e93705-f76c-470b-9287-bd10340e3d1c/9a2a0609-cd03-452d-818a-24f49d761fe2,2700,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,PIERCE CO RTA-2700-eff 04/17 Tax Cod-inactive,skipped,+9.50%,$0.00
11189,https://login.fieldedge.com/#/DispatchSummary/f4025b5f-c1c4-4ba4-90c4-12edfcd85402/b6c50370-71dd-4224-bed8-bf26421d6fb2,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11212,https://login.fieldedge.com/#/DispatchSummary/16f2f078-ab63-4755-82d2-9aee2290c564/82da438b-2272-4c09-950e-4fec831b93d5,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11224,https://login.fieldedge.com/#/DispatchSummary/a2d25e99-5486-48ea-9dae-8edef5712cdf/4de06fe3-d1a1-422d-bcb9-9c629af06c5c,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11213,https://login.fieldedge.com/#/DispatchSummary/9df011ad-c7b7-428f-999e-4342ac34bb61/4c561ab0-e42e-4333-b4a1-d80ac49615c1,2711,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,*PUYALLUP - 2711 -10.1.% Tax Code979-inactive,skipped,+0.10%,$0.00
11211,https://login.fieldedge.com/#/DispatchSummary/e0145421-cdaf-46df-9b0d-8bb081b15e29/d8bd8ca7-662e-4274-92e7-569bd93b2f55,4100,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,skipped,+8.10%,$0.00
11215,https://login.fieldedge.com/#/DispatchSummary/4ac145cd-0505-4307-8dd0-4f15086cd1f3/8cc05fc0-76c3-4797-b563-73705d9ec4c1,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11223,https://login.fieldedge.com/#/DispatchSummary/0104c3f3-df29-4556-a63e-324aece42615/92a7fa8c-fcc9-40f6-b20c-11b223b05d4f,2716,WHOLESALE - HV RESALE821-inactive,*2716 - Sumner - 9.6% Tax Code,new update,+9.60%,$57.50
11193,https://login.fieldedge.com/#/DispatchSummary/207ed04f-d9c0-4521-ac1c-e0bf685898eb/bd619c95-c1b8-4bdd-9a44-4fdd02b4ea9c,4100,WHOLESALE - HV RESALE Tax Code-inactive,*4100 - Pierce- 8.1% Tax Code,new update,+8.10%,$48.52
11235,https://login.fieldedge.com/#/DispatchSummary/c857b5d3-0b86-4a4d-ab19-b79a8c871a26/ac077cf1-8bde-4b11-bbcc-6a2bf257fda3,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11237,https://login.fieldedge.com/#/DispatchSummary/18e926ea-db41-4575-9b45-864c38b58625/dce6ac18-0bc2-4858-b7b6-d52d707cb8ed,2727,*2700-Pierce- 9.5% Tax Code,*2727 - Pierce- 10.1% Tax Code,new update,+0.60%,$3.95
11243,https://login.fieldedge.com/#/DispatchSummary/792baf05-0084-4b63-9a84-193b07b0eff8/992ae6c2-574b-459f-9800-046afc42d0cd,2727,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,skipped,0.00%,$0.00
11244,https://login.fieldedge.com/#/DispatchSummary/61ee3e68-c462-48f1-9035-d82ed8b1f0a3/4b887566-787b-4a7f-87a5-47e489270f86,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11246,https://login.fieldedge.com/#/DispatchSummary/354a5863-8f5a-48a0-852f-daf22a76d72c/876b499f-f4c5-4568-8253-96fedf3a4c73,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11245,https://login.fieldedge.com/#/DispatchSummary/5fdb2486-429a-48c1-b1a0-9fca6fbeb84b/2d7d5c0e-19e2-4669-bf3b-e53eda3e1c7f,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11204,https://login.fieldedge.com/#/DispatchSummary/d0bc920a-ea3a-47f3-b3ed-75a2953ec903/6902c681-ed47-4669-80d3-58da4bd802b1,2700,PIERCE CO RTA-2700-GROUP Tax Code-inactive,PIERCE CO RTA-2700-GROUP Tax Code-inactive,skipped,+9.50%,$0.00
11249,https://login.fieldedge.com/#/DispatchSummary/a93d9826-313e-4772-ad73-64425d2fe2af/5cc78923-ba5f-4103-9284-d7b59eb331b8,2701,*2701 - Bonney Lake - 9.5% Tax Code,*2701 - Bonney Lake - 9.5% Tax Code,skipped,0.00%,$0.00
11086,https://login.fieldedge.com/#/DispatchSummary/03760bc2-6654-4dbc-a181-ae64124a17bb/58642f93-1a02-405a-a08a-5d8743446c19,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11254,https://login.fieldedge.com/#/DispatchSummary/af9816b9-bcf4-4899-a497-8d3d8490d75b/1dbb8f2c-b54b-4108-a1b4-ca39688da07b,2700,*4100 - Pierce- 8.1% Tax Code,*2700-Pierce- 9.5% Tax Code,new update,+1.40%,$4.89
11256,https://login.fieldedge.com/#/DispatchSummary/71ca8954-635c-4e08-8ac4-3ef5cad938a8/61db37ed-2ac2-44b2-8e8f-76f146cd8fba,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11241,https://login.fieldedge.com/#/DispatchSummary/1c20f619-8ad1-4fe3-bd9a-fab51a8d3635/5b832c50-8541-47e6-9685-cec5805b621f,2700,WHOLESALE - HV RESALE Tax Code-inactive,*2700-Pierce- 9.5% Tax Code,new update,+9.50%,$113.81
11264,https://login.fieldedge.com/#/DispatchSummary/b1bd57b6-2f37-4676-9b86-999ed2ef8cc3/337f2bef-cc61-4c97-8e5f-f3627812fa5c,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11277,https://login.fieldedge.com/#/DispatchSummary/dc21b103-9cba-4054-981f-3ea79ed9d430/fe503e1e-0695-4e76-b3ee-36aa3ee8b690,2700,PIERCE - 2727 Tax Code844-inactive,*2700-Pierce- 9.5% Tax Code,new update,+9.50%,-$2.75
11273,https://login.fieldedge.com/#/DispatchSummary/18d938e6-807b-4e09-86da-433d6b0ecad4/db590ca0-05d2-475a-b681-bc0bd38c4445,2716,PIERCE - 2727 Tax Code844-inactive,*2716 - Sumner - 9.6% Tax Code,new update,+9.60%,$0.00
11280,https://login.fieldedge.com/#/DispatchSummary/554bf94c-a70c-45d8-bc3b-80bd8088e26d/471a7e6c-0fe5-4bc1-8f74-12c9dd9cec0f,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11281,https://login.fieldedge.com/#/DispatchSummary/e550d02d-36f7-4c39-85b3-dcd494be64db/33d9f8fa-38a2-45fe-be4f-5489ec42cd44,4100,*4100 - Pierce- 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,skipped,0.00%,$0.00
11282,https://login.fieldedge.com/#/DispatchSummary/b7d91e76-7524-4166-9ed0-4bb6e998bf6e/80630149-8e27-4758-a99a-cb1cce0b5600,2720,EDGEWOOD-2720 10% Tax Code-inactive,EDGEWOOD-2720 10% Tax Code-inactive,skipped,+0.10%,$0.00
11287,https://login.fieldedge.com/#/DispatchSummary/b0c0e344-56de-4488-b0ef-0476fcd79af3/734ac127-4fa2-4d0b-87c7-ba6cee372d87,4100,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,PRCE CO NO RTA-4100-GROUP Tax Code-inactive,skipped,+8.10%,$0.00
11290,https://login.fieldedge.com/#/DispatchSummary/37490de2-94ce-4384-a8e5-5226dfce4075/87d9a22a-2920-4dae-8fa3-2f85cd24781a,2700,*2727 - Pierce- 10.1% Tax Code,*2727 - Pierce- 10.1% Tax Code,retry,-0.60%,$0.00
11298,https://login.fieldedge.com/#/DispatchSummary/665bdb14-3a5a-4fb0-8131-20d97293b597/62914b00-ef68-46dd-a7ed-0f5d85f4d291,2721,LAKEWOOD - 2721 Tax Code886-inactive,LAKEWOOD - 2721 Tax Code886-inactive,skipped,+10.10%,$0.00
11295,https://login.fieldedge.com/#/DispatchSummary/e5cb7fa6-5bc6-42fb-9a84-54d10b227a27/d1425ba2-be86-4235-b93a-f1c8bda61ae6,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11286,https://login.fieldedge.com/#/DispatchSummary/dcbb993a-73ff-4e6c-9845-11f5b7a105b1/99846530-1c2b-4c4c-a325-abf86c9b7033,2720,*2720 - Edgewood - 10.1% Tax Code,*2720 - Edgewood - 10.1% Tax Code,skipped,0.00%,$0.00
11293,https://login.fieldedge.com/#/DispatchSummary/0812560a-15df-416c-9154-9e44b11bce3a/ae4485d3-12eb-440b-b427-879befd3300a,4100,PIERCE - 4100 Tax Code845-inactive,PIERCE - 4100 Tax Code845-inactive,skipped,+8.10%,$0.00
11326,https://login.fieldedge.com/#/DispatchSummary/00f93f8a-ae2e-4508-8e3c-54ca2366052a/22b15054-d364-478e-956e-5ae2df38c9c5,1702,*AUBURN-4002 - 8.9.% Tax Code991-inactive,*1702 - Auburn - 10.4% Tax Code,new update,+1.50%,$10.64
11339,https://login.fieldedge.com/#/DispatchSummary/af9c243f-529d-4a7f-aa3f-057c28a3b245/4aec53d8-f309-455f-8055-2fbbd7858aa1,2720,*2720 - Edgewood - 10.1% Tax Code,*2720 - Edgewood - 10.1% Tax Code,skipped,0.00%,$0.00
11352,https://login.fieldedge.com/#/DispatchSummary/7a175d5d-076c-447a-a871-9d656b7a9ef4/7957966a-fad5-4efb-ae00-91d6e72c2586,4100,*2789 - Pierce - 8.1% Tax Code,*4100 - Pierce- 8.1% Tax Code,new update,0.00%,$0.00
11261,https://login.fieldedge.com/#/DispatchSummary/1812d689-5bc2-4cc8-b50d-99a7bea9111b/257f42b3-feb8-48ec-b85e-35ebc670e511,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
11351,https://login.fieldedge.com/#/DispatchSummary/da776fb5-a446-4e1c-a815-72da9dfe45a4/9725020e-d8be-401b-832f-52f4ed33dccc,1733,*1703 - 10.2% Tax Code938-inactive,*1733 - SeaTac - 10.4% Tax Code,new update,+0.20%,$1.82
11360,https://login.fieldedge.com/#/DispatchSummary/3dd7dd49-8fd3-4711-bbd7-210a310deb0a/044b0ea5-2c07-46a7-a409-57daacd46afd,2700,*2700-Pierce- 9.5% Tax Code,*2700-Pierce- 9.5% Tax Code,skipped,0.00%,$0.00
